AgenteOponente,PosicionGeneticAgent,PartidasJugadas,Victorias,PorcentajeVictorias,PuntosTotales,PuntosPromedio,PuestoPromedio,SuperaUmbral
CrabisaAgent,1,10,1,0.1000,60,6.00,2.10,NO
CrabisaAgent,2,10,4,0.4000,66,6.60,1.80,SI
CrabisaAgent,3,10,6,0.6000,83,8.30,1.60,SI
CrabisaAgent,4,10,0,0.0000,41,4.10,2.60,NO
PabloAleixAlexAgent,1,10,6,0.6000,88,8.80,1.40,SI
PabloAleixAlexAgent,2,10,2,0.2000,56,5.60,2.10,NO
PabloAleixAlexAgent,3,10,1,0.1000,67,6.70,2.10,NO
PabloAleixAlexAgent,4,10,1,0.1000,59,5.90,2.50,NO
CarlesZaidaAgent,1,10,6,0.6000,92,9.20,1.40,SI
CarlesZaidaAgent,2,10,3,0.3000,72,7.20,1.90,SI
CarlesZaidaAgent,3,10,1,0.1000,55,5.50,2.80,NO
CarlesZaidaAgent,4,10,5,0.5000,77,7.70,2.00,SI
SigmaAgent,1,10,2,0.2000,58,5.80,2.00,NO
SigmaAgent,2,10,2,0.2000,67,6.70,2.10,NO
SigmaAgent,3,10,2,0.2000,65,6.50,2.20,NO
SigmaAgent,4,10,5,0.5000,75,7.50,2.00,SI
AlexPelochoJaimeAgent,1,10,5,0.5000,81,8.10,1.50,SI
AlexPelochoJaimeAgent,2,10,2,0.2000,65,6.50,2.20,NO
AlexPelochoJaimeAgent,3,10,5,0.5000,82,8.20,1.80,SI
AlexPelochoJaimeAgent,4,10,4,0.4000,64,6.40,2.00,SI
EdoAgent,1,10,7,0.7000,90,9.00,1.40,SI
EdoAgent,2,10,4,0.4000,61,6.10,2.20,SI
EdoAgent,3,10,9,0.9000,97,9.70,1.10,SI
EdoAgent,4,10,5,0.5000,82,8.20,1.80,SI
TristanAgent,1,10,5,0.5000,67,6.70,2.20,SI
TristanAgent,2,10,6,0.6000,73,7.30,2.00,SI
TristanAgent,3,10,5,0.5000,59,5.90,2.30,SI
TristanAgent,4,10,6,0.6000,62,6.20,2.10,SI
RandomAgent,1,10,10,1.0000,99,9.90,1.00,SI
RandomAgent,2,10,8,0.8000,80,8.00,1.60,SI
RandomAgent,3,10,6,0.6000,59,5.90,2.20,SI
RandomAgent,4,10,8,0.8000,85,8.50,1.40,SI
AdrianHerasAgent,1,10,8,0.8000,79,7.90,1.60,SI
AdrianHerasAgent,2,10,9,0.9000,88,8.80,1.30,SI
AdrianHerasAgent,3,10,9,0.9000,91,9.10,1.30,SI
AdrianHerasAgent,4,10,8,0.8000,86,8.60,1.40,SI
AlexPastorAgent,1,10,7,0.7000,66,6.60,1.90,SI
AlexPastorAgent,2,10,8,0.8000,89,8.90,1.40,SI
AlexPastorAgent,3,10,10,1.0000,99,9.90,1.00,SI
AlexPastorAgent,4,10,9,0.9000,90,9.00,1.30,SI
